year,month,county,mean_t,sum_p
2017,1,Wake,46.5,3.77
2017,2,Wake,53.3,0.66
2017,3,Wake,52,3.13
2017,4,Wake,66.5,8.66
2017,5,Wake,69.4,5.64
2017,6,Wake,75.6,6.16
2017,7,Wake,82,2.38
2017,8,Wake,78.8,5
2017,9,Wake,71.9,2.28
2017,10,Wake,64.2,4.29
2017,11,Wake,49.9,1.28
2017,12,Wake,42.3,2.29
2018,1,Wake,36.9,3.92
2018,2,Wake,52.3,1.7
2018,3,Wake,45.8,4.8
2018,4,Wake,57.2,5.35
2018,5,Wake,74.2,5.12
2018,6,Wake,78.3,1.98
2018,7,Wake,79.6,4.92
2018,8,Wake,78.9,6.62
2018,9,Wake,76.9,7.97
2018,10,Wake,62,4.58
2018,11,Wake,48.4,7.1
2018,12,Wake,45.4,6.23
2017,1,Forsyth,43.9,5.12
2017,2,Forsyth,51,0.49
2017,3,Forsyth,51,2.56
2017,4,Forsyth,63.9,5.74
2017,5,Forsyth,67.4,7.12
2017,6,Forsyth,74.4,9.94
2017,7,Forsyth,80,1.04
2017,8,Forsyth,76.3,2.44
2017,9,Forsyth,70.2,2.8
2017,10,Forsyth,62.5,3.03
2017,11,Forsyth,49.3,0.95
2017,12,Forsyth,41.2,1.6
2018,1,Forsyth,35.1,3.65
2018,2,Forsyth,50,2.56
2018,3,Forsyth,45.3,4.32
2018,4,Forsyth,56.6,4.43
2018,5,Forsyth,73.2,3.77
2018,6,Forsyth,77.6,2.53
2018,7,Forsyth,78.5,6.04
2018,8,Forsyth,77.9,6.97
2018,9,Forsyth,75.6,9.17
2018,10,Forsyth,61.9,7.22
2018,11,Forsyth,46,6.46
2018,12,Forsyth,42.9,6.99
2017,1,New Hanover,51.3,4.22
2017,2,New Hanover,55.4,1.33
2017,3,New Hanover,53.5,2.71
2017,4,New Hanover,68,7.05
2017,5,New Hanover,73,5.19
2017,6,New Hanover,77.6,10.11
2017,7,New Hanover,82,6.59
2017,8,New Hanover,79.5,10.18
2017,9,New Hanover,76.2,3.82
2017,10,New Hanover,68.3,6.51
2017,11,New Hanover,56.5,1.07
2017,12,New Hanover,48.6,3.86
2018,1,New Hanover,41.5,6.82
2018,2,New Hanover,57.5,1.83
2018,3,New Hanover,51.2,3.25
2018,4,New Hanover,60.5,5.37
2018,5,New Hanover,74.8,14.36
2018,6,New Hanover,80.8,8.41
2018,7,New Hanover,79.5,17.1
2018,8,New Hanover,81.8,5.43
2018,9,New Hanover,79.2,24.13
2018,10,New Hanover,67.9,2.5
2018,11,New Hanover,56,6.12
2018,12,New Hanover,51,7.08
2017,1,Transylvania,42.2,4.09
2017,2,Transylvania,45.6,1.08
2017,3,Transylvania,46.6,6.79
2017,4,Transylvania,58.5,8.58
2017,5,Transylvania,62.9,8.29
2017,6,Transylvania,69.3,3.87
2017,7,Transylvania,74.1,4.83
2017,8,Transylvania,71.1,4.65
2017,9,Transylvania,65.6,7.03
2017,10,Transylvania,57.4,15
2017,11,Transylvania,47.3,2.2
2017,12,Transylvania,38.7,3.26
2018,1,Transylvania,30.8,5.77
2018,2,Transylvania,47.9,9.61
2018,3,Transylvania,44,5.05
2018,4,Transylvania,51.1,6.43
2018,5,Transylvania,66.8,17.8
2018,6,Transylvania,72.2,3.1
2018,7,Transylvania,72.7,10.2
2018,8,Transylvania,71.4,9.48
2018,9,Transylvania,72.1,9.35
2018,10,Transylvania,59.3,8.11
2018,11,Transylvania,42.6,10.19
2018,12,Transylvania,38.9,15.65
